State of Charge (SOC) (%),State of Health (SOH) (%),Cycle Count,Voltage (V),Temperature (°C),Internal Resistance (mΩ),Efficiency (%),Life Span Remaining,Charging/Discharging Rate
32.64509313331907,96.7885193419062,1906,3.0176765962051757,28.19932000580729,93.13862766366324,50,"0 years, 5 months, 26 days",Slow
72.70568874467533,94.43243543426314,553,3.3721853938558097,15.29279902282524,38.41388458084784,70,"8 years, 2 months, 18 days",Slow
51.82927920658689,82.18863283420563,810,3.842776448349194,29.507520105523533,91.75410583551468,50,"9 years, 0 months, 8 days",Slow
38.01651115147849,75.33701770847793,420,4.020217686012408,25.369532948381305,61.94797742928169,50,"10 years, 1 months, 28 days",Moderate
33.3611846248331,99.37506214412744,1648,3.681052510631943,15.95827096141694,67.96628054905283,50,"9 years, 10 months, 24 days",Slow
33.82099280813318,71.50564193856086,984,3.165569323081088,16.838549968023084,66.52943860578262,50,"3 years, 2 months, 29 days",Slow
28.400136533605725,95.79100947117378,496,4.122368534659689,20.739485625466354,28.32066187257692,50,"0 years, 4 months, 5 days",Fast
55.86407049688546,76.65450750202474,1414,3.249491584990117,24.31121028285916,99.2257454222434,50,"14 years, 7 months, 5 days",Slow
73.86785977660264,80.2230204958054,1102,3.0611900413926696,33.75552506713626,25.39789554887936,70,"0 years, 2 months, 12 days",Slow
78.32307559574824,72.55465206616762,1252,3.724223885428956,37.26127758591761,89.51673129318665,70,"1 years, 4 months, 7 days",Slow
